Player,Age,Team,Inn,Fld%,Rtot,Rdrs,DRP,outs_above_average,FRV,Rtot_percentile,Rdrs_percentile,DRP_percentile,outs_above_average_percentile,Fld%_percentile,FRV_percentile
Bryce Harper,31,PHI,1233.1,0.996,7.0,5.0,0.9,8.0,4.0,82.05,68.18,56.94,80.89,88.64,61.35
Leody Taveras,25,TEX,1227.0,0.992,-14.0,-10.0,-13.1,4.0,3.0,2.73,6.82,0.93,65.45,67.5,59.18
Jurickson Profar,31,SDP,1221.2,0.996,-7.0,-8.0,-4.6,-6.0,-14.0,13.64,11.82,11.57,11.26,88.64,6.52
Nolan Schanuel,22,LAA,1211.1,0.994,-5.0,1.0,-2.0,-5.0,-3.0,20.23,52.5,27.31,16.23,75.91,34.78
Zack Gelof,24,OAK,1209.2,0.988,2.0,-1.0,-0.6,2.0,4.0,58.86,40.45,40.28,56.54,47.27,61.35
Jackson Chourio,20,MIL,1207.0,1.0,13.0,12.0,9.3,5.0,8.0,93.41,91.82,93.98,70.68,99.09,71.98
Josh Naylor,27,CLE,1205.0,0.992,3.0,-6.0,-1.0,1.0,1.0,63.64,18.41,37.27,50.0,67.5,50.24
Alec Bohm,27,PHI,1203.1,0.967,0.0,-2.0,-1.9,5.0,-1.0,46.82,35.0,28.94,70.68,9.32,41.3
Bryson Stott,26,PHI,1201.1,0.989,-3.0,6.0,-5.0,0.0,2.0,27.95,72.27,8.8,42.93,51.59,55.31
Nathaniel Lowe,28,TEX,1193.2,0.995,9.0,1.0,1.6,7.0,1.0,86.59,52.5,64.12,77.75,81.36,50.24
Colton Cowser,24,BAL,1192.2,0.997,6.0,3.0,4.6,10.0,10.0,76.82,61.59,83.56,86.65,93.86,75.6
Bryan Reynolds,29,PIT,1173.2,0.992,-14.0,-5.0,-6.2,-13.0,-16.0,2.73,22.5,7.18,1.57,67.5,4.11
CJ Abrams,23,WSN,1170.2,0.968,-9.0,1.0,-1.0,-18.0,-23.0,6.82,52.5,37.27,0.52,10.45,0.97
Joey Ortiz,25,MIL,1164.0,0.973,12.0,8.0,3.7,11.0,20.0,90.91,78.64,78.47,89.53,16.14,92.51
Salvador Perez,34,KCR,1157.1,0.996,7.0,-4.0,1.0,,1.0,82.05,26.82,58.1,,88.64,50.24
Oneil Cruz,25,PIT,1153.1,0.942,-2.0,-12.0,-4.7,-1.0,4.0,33.18,4.09,10.42,36.39,0.45,61.35
Michael Busch,26,CHC,1150.2,0.996,8.0,5.0,2.2,1.0,-2.0,85.0,68.18,68.29,50.0,88.64,38.41
Jake Meyers,28,HOU,1145.0,0.997,14.0,6.0,9.1,13.0,19.0,96.14,72.27,93.52,92.41,93.86,91.55
Rafael Devers,27,BOS,1138.1,0.96,-1.0,-9.0,-4.0,-6.0,-6.0,40.23,9.32,15.74,11.26,2.95,23.19
Jonathan India,27,CIN,1137.0,0.991,6.0,-10.0,1.9,1.0,-12.0,76.82,6.82,66.44,50.0,61.82,9.42
Julio Rodríguez,23,SEA,1133.1,0.985,13.0,3.0,9.0,8.0,18.0,93.41,61.59,93.06,80.89,37.73,90.1
Sal Frelick,24,MIL,1132.0,0.989,4.0,15.0,10.1,6.0,12.0,67.95,95.91,95.37,74.87,51.59,79.71
Vladimir Guerrero Jr.,25,TOR,1126.1,0.988,-6.0,-1.0,-4.2,-9.0,-7.0,16.36,40.45,15.05,4.97,47.27,20.05
Adolis García,31,TEX,1124.2,0.985,5.0,-5.0,-7.0,-12.0,-9.0,72.27,22.5,4.4,2.36,37.73,16.18
Cal Raleigh,27,SEA,1122.0,0.995,6.0,17.0,18.5,,22.0,76.82,97.5,98.61,,81.36,93.72
Anthony Santander,29,BAL,1120.1,0.993,9.0,-7.0,-2.0,-2.0,-5.0,86.59,15.0,27.31,30.1,72.05,26.33
Matt Vierling,27,DET,1110.1,0.987,9.0,2.0,-1.6,0.0,-3.0,86.59,57.95,32.87,42.93,43.64,34.78
Shea Langeliers,26,OAK,1108.2,0.995,-2.0,-10.0,-11.3,,-16.0,33.18,6.82,1.85,,81.36,4.11
José Ramírez,31,CLE,1108.0,0.971,4.0,6.0,4.6,3.0,8.0,67.95,72.27,83.56,61.26,13.41,71.98
José Caballero,27,TBR,1105.1,0.971,7.0,2.0,-5.2,7.0,10.0,82.05,57.95,8.33,77.75,13.41,75.6
Christian Walker,33,ARI,1104.1,0.998,4.0,7.0,4.3,13.0,12.0,67.95,75.68,81.94,92.41,96.59,79.71
Brayan Rocchio,23,CLE,1102.0,0.974,11.0,11.0,4.1,5.0,5.0,88.86,88.86,80.56,70.68,17.73,63.04
Brendan Rodgers,27,COL,1093.0,0.985,-2.0,-4.0,-1.2,-3.0,1.0,33.18,26.82,35.42,24.87,37.73,50.24
Cedric Mullins,29,BAL,1090.0,0.996,-3.0,-5.0,-5.7,2.0,1.0,27.95,22.5,7.87,56.54,88.64,50.24
Colt Keith,22,DET,1086.2,0.977,-2.0,-8.0,-4.6,0.0,-3.0,33.18,11.82,11.57,42.93,22.73,34.78
Luis García Jr.,24,WSN,1086.0,0.981,1.0,-5.0,-0.8,5.0,-1.0,52.27,22.5,39.35,70.68,30.45,41.3
Josh Smith,26,TEX,1086.0,0.967,-7.0,-1.0,-0.2,-1.0,-3.0,13.64,40.45,45.6,36.39,9.32,34.78
Daulton Varsho,27,TOR,1085.1,0.994,19.0,28.0,8.0,14.0,22.0,99.77,100.0,90.51,94.5,75.91,93.72
Max Schuemann,27,OAK,1071.2,0.964,-6.0,-7.0,-3.1,-1.0,6.0,16.36,15.0,19.68,36.39,6.82,65.7
Logan O'Hoppe,24,LAA,1064.1,0.994,4.0,1.0,-1.7,,-10.0,67.95,52.5,31.25,,75.91,14.49
Jake McCarthy,26,ARI,1061.2,0.993,-10.0,-3.0,2.3,5.0,7.0,4.77,30.91,69.44,70.68,72.05,69.32
William Contreras,26,MIL,1060.0,0.993,6.0,6.0,4.8,,6.0,76.82,72.27,84.72,,72.05,65.7
Lourdes Gurriel Jr.,30,ARI,1060.0,0.98,7.0,3.0,8.4,3.0,-2.0,82.05,61.59,91.67,61.26,27.95,38.41
Andrew Vaughn,26,CHW,1059.1,0.996,0.0,-4.0,-0.6,-9.0,-6.0,46.82,26.82,40.28,4.97,88.64,23.19
Gavin Lux,26,LAD,1054.2,0.98,-1.0,-2.0,1.9,-2.0,-9.0,40.23,35.0,66.44,30.1,27.95,16.18
Jeff McNeil,32,NYM,1054.1,0.98,-1.0,1.0,1.4,0.0,-0.0,40.23,52.5,62.27,42.93,27.95,45.17
Will Smith,29,LAD,1051.1,0.992,6.0,-4.0,-7.0,,-12.0,76.82,26.82,4.4,,67.5,9.42
Josh Rojas,30,SEA,1050.1,0.969,3.0,8.0,1.0,9.0,1.0,63.64,78.64,58.1,83.51,11.36,50.24
Jose Siri,28,TBR,1049.2,0.98,7.0,12.0,11.1,16.0,14.0,82.05,91.82,96.76,97.38,27.95,84.54
Ha-Seong Kim,28,SDP,1046.2,0.974,0.0,2.0,3.2,4.0,2.0,46.82,57.95,74.54,65.45,17.73,55.31
Kyle Isbel,27,KCR,1046.1,0.987,-8.0,5.0,-0.2,9.0,18.0,10.23,68.18,45.6,83.51,43.64,90.1
Mike Yastrzemski,33,SFG,1043.0,0.982,-6.0,4.0,3.7,0.0,1.0,16.36,64.55,78.47,42.93,32.27,50.24
Brandon Marsh,26,PHI,1038.2,0.979,-4.0,7.0,0.6,-1.0,3.0,23.86,75.68,52.78,36.39,25.45,59.18
George Springer,34,TOR,1038.2,0.991,-5.0,-1.0,-1.9,-1.0,-12.0,20.23,40.45,28.94,36.39,61.82,9.42
Jo Adell,25,LAA,1035.2,0.983,6.0,6.0,3.0,0.0,-15.0,76.82,72.27,73.38,42.93,34.09,5.31
Andrew Benintendi,29,CHW,1031.0,0.988,-3.0,-13.0,-0.5,-5.0,-19.0,27.95,3.18,41.44,16.23,47.27,1.69
Harrison Bader,30,NYM,1025.1,0.986,14.0,-2.0,2.1,9.0,14.0,96.14,35.0,67.59,83.51,40.68,84.54
Trea Turner,31,PHI,1018.2,0.962,-8.0,-14.0,-0.9,-3.0,7.0,10.23,2.27,38.66,24.87,5.23,69.32
Jared Triolo,26,PIT,1010.2,0.992,2.0,7.0,1.3,3.0,8.0,58.86,75.68,60.88,61.26,67.5,71.98
